"outcome","variant","gap","event_set","weighting","panel","event_time","reason","detail"
"achievement","sample_r5","c_hispanic_white","primary","tested_weighted","unbalanced",4,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2015 (0 rows; base year 2010: 34 rows); cohort 2012 at 2016 (1 rows; base year 2011: 16 rows)"
"achievement","sample_r5","b_black_white","r1","unweighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2013 (0 rows; base year 2010: 21 rows); cohort 2012 at 2014 (3 rows; base year 2011: 22 rows)"
"achievement","sample_r5","b_black_white","r1","unweighted","unbalanced",3,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2014 (0 rows; base year 2010: 21 rows); cohort 2012 at 2015 (3 rows; base year 2011: 22 rows)"
"achievement","sample_r5","b_black_white","r1","unweighted","unbalanced",4,"no district-year","cohort-years with no district-year in the panel: 2011 at 2015; 2012 at 2016"
"achievement","sample_r5","b_black_white","r1","tested_weighted","unbalanced",2,"no district-year","cohort-years with no district-year in the panel: 2011 at 2013; 2012 at 2014"
"achievement","sample_r5","b_black_white","r1","tested_weighted","unbalanced",3,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2014 (0 rows; base year 2010: 21 rows); cohort 2012 at 2015 (2 rows; base year 2011: 20 rows)"
"achievement","sample_r5","b_black_white","r1","tested_weighted","unbalanced",4,"no district-year","cohort-years with no district-year in the panel: 2011 at 2015; 2012 at 2016"
"achievement","sample_r5","c_hispanic_white","r1","unweighted","unbalanced",4,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2015 (0 rows; base year 2010: 34 rows); cohort 2012 at 2016 (4 rows; base year 2011: 20 rows)"
"achievement","sample_r5","c_hispanic_white","r1","tested_weighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2013 (1 rows; base year 2010: 34 rows); cohort 2012 at 2014 (2 rows; base year 2011: 16 rows)"
"achievement","sample_r5","c_hispanic_white","r1","tested_weighted","unbalanced",3,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2014 (1 rows; base year 2010: 34 rows); cohort 2012 at 2015 (1 rows; base year 2011: 16 rows)"
"achievement","sample_r5","c_hispanic_white","r1","tested_weighted","unbalanced",4,"not estimable","district-years present but no estimable group-time cell: cohort 2011 at 2015 (0 rows; base year 2010: 34 rows); cohort 2012 at 2016 (1 rows; base year 2011: 16 rows)"
"achievement","sample_exact","a_poverty","primary","unweighted","unbalanced",4,"no state-year","cohort-years with no state-year in the panel: 2011 at 2015; 2012 at 2016"
"achievement","sample_exact","c_hispanic_white","primary","unweighted","unbalanced",-3,"not estimable","district-years present but no estimable group-time cell: cohort 2018 at 2015 (0 rows; base year 2017: 13 rows); cohort 2019 at 2016 (10 rows; base year 2018: 0 rows); cohort 2020 at 2017 (2 rows; base year 2019: 2 rows)"
"achievement","sample_exact","c_hispanic_white","primary","unweighted","unbalanced",2,"no district-year","cohort-years with no district-year in the panel: 2011 at 2013; 2012 at 2014; 2018 at 2020 (outside the window); 2019 at 2021"
"achievement","sample_exact","c_hispanic_white","primary","tested_weighted","unbalanced",-3,"not estimable","district-years present but no estimable group-time cell: cohort 2018 at 2015 (0 rows; base year 2017: 5 rows); cohort 2019 at 2016 (3 rows; base year 2018: 0 rows); cohort 2020 at 2017 (2 rows; base year 2019: 2 rows)"
"achievement","sample_exact","c_hispanic_white","primary","tested_weighted","unbalanced",-2,"not estimable","district-years present but no estimable group-time cell: cohort 2018 at 2016 (2 rows; base year 2017: 5 rows); cohort 2019 at 2017 (3 rows; base year 2018: 0 rows); cohort 2020 at 2018 (2 rows; base year 2019: 2 rows)"
"achievement","sample_exact","a_poverty","r1","unweighted","unbalanced",4,"no state-year","cohort-years with no state-year in the panel: 2011 at 2015; 2012 at 2016"
"achievement","participation_from_2013","b_black_white","primary","unweighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2019 (1 rows; base year 2016: 1 rows); cohort 2018 at 2020 (0 rows; base year 2017: 60 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","participation_from_2013","b_black_white","primary","tested_weighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2019 (1 rows; base year 2016: 1 rows); cohort 2018 at 2020 (0 rows; base year 2017: 55 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","participation_from_2013","c_hispanic_white","primary","unweighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2019 (3 rows; base year 2016: 2 rows); cohort 2018 at 2020 (0 rows; base year 2017: 100 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","participation_from_2013","c_hispanic_white","primary","tested_weighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2019 (1 rows; base year 2016: 1 rows); cohort 2018 at 2020 (0 rows; base year 2017: 77 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","drop_few_pre","b_black_white","primary","unweighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2019 (1 rows; base year 2016: 1 rows); cohort 2018 at 2020 (0 rows; base year 2017: 60 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","drop_few_pre","b_black_white","primary","tested_weighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2019 (1 rows; base year 2016: 1 rows); cohort 2018 at 2020 (0 rows; base year 2017: 55 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","drop_few_pre","c_hispanic_white","primary","unweighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2019 (3 rows; base year 2016: 2 rows); cohort 2018 at 2020 (0 rows; base year 2017: 100 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","drop_few_pre","c_hispanic_white","primary","tested_weighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2017 at 2019 (1 rows; base year 2016: 1 rows); cohort 2018 at 2020 (0 rows; base year 2017: 77 rows); cohort 2019 at 2021 (0 rows; base year 2018: 0 rows)"
"achievement","anticipation_1","b_black_white","primary","unweighted","unbalanced",4,"not estimable","district-years present but no estimable group-time cell: cohort 2012 at 2016 (1 rows; base year 2010: 29 rows); cohort 2017 at 2021 (0 rows; base year 2015: 1 rows)"
"achievement","anticipation_1","b_black_white","primary","tested_weighted","unbalanced",2,"not estimable","district-years present but no estimable group-time cell: cohort 2012 at 2014 (3 rows; base year 2010: 29 rows); cohort 2017 at 2019 (1 rows; base year 2015: 1 rows); cohort 2018 at 2020 (0 rows; base year 2016: 30 rows); cohort 2019 at 2021 (0 rows; base year 2017: 4 rows)"
"achievement","anticipation_1","b_black_white","primary","tested_weighted","unbalanced",4,"no district-year","cohort-years with no district-year in the panel: 2012 at 2016; 2017 at 2021"
"achievement","anticipation_1","a_poverty","r2","unweighted","unbalanced",-1,"no state-year","cohort-years with no state-year in the panel: 2019 at 2018"
"achievement","anticipation_1","b_black_white","r2","unweighted","unbalanced",-1,"no district-year","cohort-years with no district-year in the panel: 2019 at 2018"
"achievement","anticipation_1","c_hispanic_white","r2","unweighted","unbalanced",-1,"no district-year","cohort-years with no district-year in the panel: 2019 at 2018"
"achievement","anticipation_1","c_hispanic_white","r2","tested_weighted","unbalanced",-1,"no district-year","cohort-years with no district-year in the panel: 2019 at 2018"
